"variable" "mx" "sdx" "my" "sdy" "t" "sig05" "sig10" "study" "n" "es" "var" "se" "ci.lo" "ci.hi"
"38" "AFI_AN" 1.87 0.55 2.06 0.58 -1.82 NA 1 2 99 -0.33616473687425 0.0204903026773205 0.143144342107261 -0.616727647404481 -0.0556018263440183
"39" "CFI_AN" 1.87 0.52 2.09 0.61 -2.11 1 NA 2 99 -0.388151360424283 0.0205863607086509 0.143479478353704 -0.669371137997542 -0.106931582851024
"40" "SAC_AN" 1.75 0.5 2.15 0.57 3.99 1 NA 2 99 -0.746068724954472 0.0216219654631304 0.147044093601649 -1.0342751484137 -0.457862301495241
"41" "AFC_AN" 1.86 0.54 2.1 0.59 -2.27 1 NA 2 99 -0.424363540574976 0.0206614192187787 0.143740805684324 -0.706095519716252 -0.1426315614337
"42" "CFC_AN" 1.96 0.52 2 0.62 -0.33 NA NA 2 99 -0.0699069981718753 0.0202144870091462 0.142177660021349 -0.348575211813719 0.208761215469968
"43" "FA_SA" 3 0.34 2.93 0.34 0.64 NA NA 1 59 0.205882352941176 0.0340810100125587 0.184610427691825 -0.155954085334802 0.567718791217154
"44" "WE_SA" 3.06 0.36 2.93 0.31 2.02 1 NA 1 59 0.386983609072451 0.034543806436861 0.185859641764588 0.0226987112138584 0.751268506931044
"45" "FA_SA" 3.53 0.41 3.4 0.31 1.71 NA 1 2 99 0.357677765314188 0.0205283808749798 0.143277286668124 0.0768542834446648 0.638501247183711
"46" "WE_SA" 3.58 0.45 3.45 0.33 1.96 NA 1 2 99 0.329457232550205 0.0204789132328356 0.143104553501402 0.0489723076874577 0.609942157412953
"47" "FA_VI" 3.79 0.67 3.32 0.94 2.37 1 NA 1 59 0.575810058321788 0.0353274310470929 0.187955928470195 0.207416438520206 0.944203678123369
"48" "WE_VI" 3.77 0.71 3.71 0.74 0.49 NA NA 1 59 0.0827409134709328 0.0339278139587199 0.184195043252309 -0.278281371303592 0.443763198245458
"49" "FA_VI" 3.39 0.72 3.37 0.66 0.17 NA NA 2 99 0.028958149517538 0.0202041594224883 0.142141336079581 -0.24963886919844 0.307555168233516
"50" "WE_VI" 3.4 0.83 3.37 0.59 0.28 NA NA 2 99 0.0416626484722729 0.0202064482027287 0.142149386923506 -0.236950149897799 0.320275446842345
"51" "FA_CO" 3.08 0.49 3.37 0.51 -2.1 1 NA 1 59 -0.579884034788404 0.035347725316653 0.188009907495996 -0.948383453480557 -0.211384616096252
"52" "WE_CO" 2.94 0.46 3.26 0.49 -3.57 1 NA 1 59 -0.673348552526973 0.0358526079864275 0.189347849172964 -1.04447033690598 -0.302226768147964
"53" "FA_DP" 1.68 0.58 1.87 0.45 -1.41 NA NA 2 99 -0.366028167001917 0.0205437972914049 0.143331075804952 -0.646957075579622 -0.0850992584242109
"54" "WE_DP" 1.61 0.54 1.8 0.56 -1.7 NA 1 2 99 -0.345397459682784 0.0205063554192532 0.143200402999619 -0.626070249562036 -0.0647246698035317
"55" "FA_AN" 1.89 0.58 2.19 0.43 -2.36 NA 1 2 99 -0.587614345982834 0.0210828636193795 0.145199392627447 -0.87220515553263 -0.303023536433038
"56" "WE_AN" 1.87 0.58 2 0.55 -1.2 NA NA 2 99 -0.230007451545539 0.0203369779259143 0.142607776526788 -0.509518693538043 0.0495037904469651
