;variable;mx;sdx;my;sdy;t;sig05;sig10;study;n;es;var;se;ci.lo;ci.hi
28;SAC_CO;2,99;0,51;3,22;0,46;-2,59;1;NA;1;59;0;0,0625;0,25;-0,25;0,25
29;AFC_CO;3,02;0,44;3,2;0,53;-1,99;1;NA;1;59;0;0,0625;0,25;-0,25;0,25
30;CFC_CO;2,96;0,49;3,25;0,46;-3,3;1;NA;1;59;0;0,0625;0,25;-0,25;0,25
31;SAI_DP;1,68;0,52;1,82;0,6;-1,34;NA;NA;2;99;0;0,0625;0,25;-0,25;0,25
32;AFI_DP;1,66;0,49;1,82;0,6;-1,57;NA;NA;2;99;0;0,0625;0,25;-0,25;0,25
33;CFI_DP;1,66;0,5;1,86;0,61;-1,97;NA;1;2;99;0;0,0625;0,25;-0,25;0,25
34;SAC_DP;1,58;0,51;1,88;0,57;-2,93;1;NA;2;99;0;0,0625;0,25;-0,25;0,25
35;AFC_DP;1,68;0,51;1,82;0,61;-1,37;NA;NA;2;99;0;0,0625;0,25;-0,25;0,25
36;CFC_DP;1,73;0,54;1,78;0,59;-0,52;NA;NA;2;99;0;0,0625;0,25;-0,25;0,25
37;SAI_AN;1,86;0,53;2,09;0,59;-2,2;1;NA;2;99;0;0,0625;0,25;-0,25;0,25
38;AFI_AN;1,87;0,55;2,06;0,58;-1,82;NA;1;2;99;0;0,0625;0,25;-0,25;0,25
39;CFI_AN;1,87;0,52;2,09;0,61;-2,11;1;NA;2;99;0;0,0625;0,25;-0,25;0,25
40;SAC_AN;1,75;0,5;2,15;0,57;-3,99;1;NA;2;99;0;0,0625;0,25;-0,25;0,25
41;AFC_AN;1,86;0,54;2,1;0,59;-2,27;1;NA;2;99;0;0,0625;0,25;-0,25;0,25
42;CFC_AN;1,96;0,52;2;0,62;-0,33;NA;NA;2;99;0;0,0625;0,25;-0,25;0,25
43;FA_SA;3;0,34;2,93;0,34;0,64;NA;NA;1;59;0;0,0625;0,25;-0,25;0,25
44;WE_SA;3,06;0,36;2,93;0,31;2,02;1;NA;1;59;0;0,0625;0,25;-0,25;0,25
45;FA_SA;3,53;0,41;3,4;0,31;1,71;NA;1;2;99;0;0,0625;0,25;-0,25;0,25
46;WE_SA;3,58;0,45;3,45;0,33;1,96;NA;1;2;99;0;0,0625;0,25;-0,25;0,25
47;FA_VI;3,79;0,67;3,32;0,94;2,37;1;NA;1;59;0;0,0625;0,25;-0,25;0,25
48;WE_VI;3,77;0,71;3,71;0,74;0,49;NA;NA;1;59;0;0,0625;0,25;-0,25;0,25
49;FA_VI;3,39;0,72;3,37;0,66;0,17;NA;NA;2;99;0;0,0625;0,25;-0,25;0,25
50;WE_VI;3,4;0,83;3,37;0,59;0,28;NA;NA;2;99;0;0,0625;0,25;-0,25;0,25
51;FA_CO;3,08;0,49;3,37;0,51;-2,1;1;NA;1;59;0;0,0625;0,25;-0,25;0,25
52;WE_CO;2,94;0,46;3,26;0,49;-3,57;1;NA;1;59;0;0,0625;0,25;-0,25;0,25
53;FA_DP;1,68;0,58;1,87;0,45;-1,41;NA;NA;2;99;0;0,0625;0,25;-0,25;0,25
54;WE_DP;1,61;0,54;1,8;0,56;-1,7;NA;1;2;99;0;0,0625;0,25;-0,25;0,25
55;FA_AN;1,89;0,58;2,19;0,43;-2,36;NA;1;2;99;0;0,0625;0,25;-0,25;0,25
56;WE_AN;1,87;0,58;2;0,55;-1,2;NA;NA;2;99;0;0,0625;0,25;-0,25;0,25
